min,max,single,married_filing_jointly,married_filing_separately,head_of_household
53700,53750,7610,6052,7610,6168
53750,53800,7621,6058,7621,6179
53800,53850,7632,6064,7632,6190
53850,53900,7643,6070,7643,6201
53900,53950,7654,6076,7654,6212
53950,54000,7665,6082,7665,6223
54000,54050,7676,6088,7676,6234
54050,54100,7687,6094,7687,6245
54100,54150,7698,6100,7698,6256
54150,54200,7709,6106,7709,6267
54200,54250,7720,6112,7720,6278
54250,54300,7731,6118,7731,6289
54300,54350,7742,6124,7742,6300
54350,54400,7753,6130,7753,6311
54400,54450,7764,6136,7764,6322
54450,54500,7775,6142,7775,6333
54500,54550,7786,6148,7786,6344
54550,54600,7797,6154,7797,6355
54600,54650,7808,6160,7808,6366
54650,54700,7819,6166,7819,6377
54700,54750,7830,6172,7830,6388
54750,54800,7841,6178,7841,6399
54800,54850,7852,6184,7852,6410
54850,54900,7863,6190,7863,6421
54900,54950,7874,6196,7874,6432
54950,55000,7885,6202,7885,6443
55000,55050,7896,6208,7896,6454
55050,55100,7907,6214,7907,6465
55100,55150,7918,6220,7918,6476
55150,55200,7929,6226,7929,6487
55200,55250,7940,6232,7940,6498
55250,55300,7951,6238,7951,6509
55300,55350,7962,6244,7962,6520
55350,55400,7973,6250,7973,6531
55400,55450,7984,6256,7984,6542
55450,55500,7995,6262,7995,6553
55500,55550,8006,6268,8006,6564
55550,55600,8017,6274,8017,6575
55600,55650,8028,6280,8028,6586
55650,55700,8039,6286,8039,6597
55700,55750,8050,6292,8050,6608
55750,55800,8061,6298,8061,6619
55800,55850,8072,6304,8072,6630
55850,55900,8083,6310,8083,6641
55900,55950,8094,6316,8094,6652
55950,56000,8105,6322,8105,6663
56000,56050,8116,6328,8116,6674
56050,56100,8127,6334,8127,6685
56100,56150,8138,6340,8138,6696
56150,56200,8149,6346,8149,6707
56200,56250,8160,6352,8160,6718
56250,56300,8171,6358,8171,6729
56300,56350,8182,6364,8182,6740
56350,56400,8193,6370,8193,6751
56400,56450,8204,6376,8204,6762
56450,56500,8215,6382,8215,6773
56500,56550,8226,6388,8226,6784
56550,56600,8237,6394,8237,6795
56600,56650,8248,6400,8248,6806
56650,56700,8259,6406,8259,6817
56700,56750,8270,6412,8270,6828
56750,56800,8281,6418,8281,6839
56800,56850,8292,6424,8292,6850
56850,56900,8303,6430,8303,6861
56900,56950,8314,6436,8314,6872
56950,57000,8325,6442,8325,6883
57000,57050,8336,6448,8336,6894
57050,57100,8347,6454,8347,6905
57100,57150,8358,6460,8358,6916
57150,57200,8369,6466,8369,6927
57200,57250,8380,6472,8380,6938
57250,57300,8391,6478,8391,6949
57300,57350,8402,6484,8402,6960
57350,57400,8413,6490,8413,6971
57400,57450,8424,6496,8424,6982
57450,57500,8435,6502,8435,6993
57500,57550,8446,6508,8446,7004
57550,57600,8457,6514,8457,7015
57600,57650,8468,6520,8468,7026
57650,57700,8479,6526,8479,7037
57700,57750,8490,6532,8490,7048
57750,57800,8501,6538,8501,7059
57800,57850,8512,6544,8512,7070
57850,57900,8523,6550,8523,7081
57900,57950,8534,6556,8534,7092
57950,58000,8545,6562,8545,7103
58000,58050,8556,6568,8556,7114
58050,58100,8567,6574,8567,7125
58100,58150,8578,6580,8578,7136
58150,58200,8589,6586,8589,7147
58200,58250,8600,6592,8600,7158
58250,58300,8611,6598,8611,7169
58300,58350,8622,6604,8622,7180
58350,58400,8633,6610,8633,7191
58400,58450,8644,6616,8644,7202
58450,58500,8655,6622,8655,7213
58500,58550,8666,6628,8666,7224
58550,58600,8677,6634,8677,7235
58600,58650,8688,6640,8688,7246
58650,58700,8699,6646,8699,7257
58700,58750,8710,6652,8710,7268
58750,58800,8721,6658,8721,7279
58800,58850,8732,6664,8732,7290
58850,58900,8743,6670,8743,7301
58900,58950,8754,6676,8754,7312
58950,59000,8765,6682,8765,7323
59000,59050,8776,6688,8776,7334
59050,59100,8787,6694,8787,7345
59100,59150,8798,6700,8798,7356
59150,59200,8809,6706,8809,7367
59200,59250,8820,6712,8820,7378
59250,59300,8831,6718,8831,7389
59300,59350,8842,6724,8842,7400
59350,59400,8853,6730,8853,7411
59400,59450,8864,6736,8864,7422
59450,59500,8875,6742,8875,7433
59500,59550,8886,6748,8886,7444
59550,59600,8897,6754,8897,7455
59600,59650,8908,6760,8908,7466
59650,59700,8919,6766,8919,7477
59700,59750,8930,6772,8930,7488
59750,59800,8941,6778,8941,7499
59800,59850,8952,6784,8952,7510
59850,59900,8963,6790,8963,7521
59900,59950,8974,6796,8974,7532
59950,60000,8985,6802,8985,7543
60000,60050,8996,6808,8996,7554
60050,60100,9007,6814,9007,7565
60100,60150,9018,6820,9018,7576
60150,60200,9029,6826,9029,7587
60200,60250,9040,6832,9040,7598
60250,60300,9051,6838,9051,7609
60300,60350,9062,6844,9062,7620
60350,60400,9073,6850,9073,7631
60400,60450,9084,6856,9084,7642
60450,60500,9095,6862,9095,7653
60500,60550,9106,6868,9106,7664
60550,60600,9117,6874,9117,7675
60600,60650,9128,6880,9128,7686
60650,60700,9139,6886,9139,7697
60700,60750,9150,6892,9150,7708
60750,60800,9161,6898,9161,7719
60800,60850,9172,6904,9172,7730
60850,60900,9183,6910,9183,7741
60900,60950,9194,6916,9194,7752
60950,61000,9205,6922,9205,7763
61000,61050,9216,6928,9216,7774
61050,61100,9227,6934,9227,7785
61100,61150,9238,6940,9238,7796
61150,61200,9249,6946,9249,7807
61200,61250,9260,6952,9260,7818
61250,61300,9271,6958,9271,7829
61300,61350,9282,6964,9282,7840
61350,61400,9293,6970,9293,7851
61400,61450,9304,6976,9304,7862
61450,61500,9315,6982,9315,7873
61500,61550,9326,6988,9326,7884
61550,61600,9337,6994,9337,7895
61600,61650,9348,7000,9348,7906
61650,61700,9359,7006,9359,7917
61700,61750,9370,7012,9370,7928
61750,61800,9381,7018,9381,7939
61800,61850,9392,7024,9392,7950
61850,61900,9403,7030,9403,7961
61900,61950,9414,7036,9414,7972
61950,62000,9425,7042,9425,7983
62000,62050,9436,7048,9436,7994
62050,62100,9447,7054,9447,8005
62100,62150,9458,7060,9458,8016
62150,62200,9469,7066,9469,8027
62200,62250,9480,7072,9480,8038
62250,62300,9491,7078,9491,8049
62300,62350,9502,7084,9502,8060
62350,62400,9513,7090,9513,8071
62400,62450,9524,7096,9524,8082
62450,62500,9535,7102,9535,8093
62500,62550,9546,7108,9546,8104
62550,62600,9557,7114,9557,8115
62600,62650,9568,7120,9568,8126
62650,62700,9579,7126,9579,8137
62700,62750,9590,7132,9590,8148
62750,62800,9601,7138,9601,8159
62800,62850,9612,7144,9612,8170
62850,62900,9623,7150,9623,8181
62900,62950,9634,7156,9634,8192
62950,63000,9645,7162,9645,8203
63000,63050,9656,7168,9656,8214
63050,63100,9667,7174,9667,8225
63100,63150,9678,7180,9678,8236
63150,63200,9689,7186,9689,8247
63200,63250,9700,7192,9700,8258
63250,63300,9711,7198,9711,8269
63300,63350,9722,7204,9722,8280
63350,63400,9733,7210,9733,8291
63400,63450,9744,7216,9744,8302
63450,63500,9755,7222,9755,8313
63500,63550,9766,7228,9766,8324
63550,63600,9777,7234,9777,8335
63600,63650,9788,7240,9788,8346
63650,63700,9799,7246,9799,8357
63700,63750,9810,7252,9810,8368
63750,63800,9821,7258,9821,8379
63800,63850,9832,7264,9832,8390
63850,63900,9843,7270,9843,8401
63900,63950,9854,7276,9854,8412
63950,64000,9865,7282,9865,8423
64000,64050,9876,7288,9876,8434
64050,64100,9887,7294,9887,8445
64100,64150,9898,7300,9898,8456
64150,64200,9909,7306,9909,8467
64200,64250,9920,7312,9920,8478
64250,64300,9931,7318,9931,8489
64300,64350,9942,7324,9942,8500
64350,64400,9953,7330,9953,8511
64400,64450,9964,7336,9964,8522
64450,64500,9975,7342,9975,8533
64500,64550,9986,7348,9986,8544
64550,64600,9997,7354,9997,8555
64600,64650,10008,7360,10008,8566
64650,64700,10019,7366,10019,8577
64700,64750,10030,7372,10030,8588
64750,64800,10041,7378,10041,8599
64800,64850,10052,7384,10052,8610
64850,64900,10063,7390,10063,8621
64900,64950,10074,7396,10074,8632
64950,65000,10085,7402,10085,8643
65000,65050,10096,7408,10096,8654
65050,65100,10107,7414,10107,8665
65100,65150,10118,7420,10118,8676
65150,65200,10129,7426,10129,8687
65200,65250,10140,7432,10140,8698
65250,65300,10151,7438,10151,8709
65300,65350,10162,7444,10162,8720
65350,65400,10173,7450,10173,8731
65400,65450,10184,7456,10184,8742
65450,65500,10195,7462,10195,8753
65500,65550,10206,7468,10206,8764
65550,65600,10217,7474,10217,8775
65600,65650,10228,7480,10228,8786
65650,65700,10239,7486,10239,8797
65700,65750,10250,7492,10250,8808
65750,65800,10261,7498,10261,8819
65800,65850,10272,7504,10272,8830
65850,65900,10283,7510,10283,8841
65900,65950,10294,7516,10294,8852
65950,66000,10305,7522,10305,8863
66000,66050,10316,7528,10316,8874
66050,66100,10327,7534,10327,8885
66100,66150,10338,7540,10338,8896
66150,66200,10349,7546,10349,8907
66200,66250,10360,7552,10360,8918
66250,66300,10371,7558,10371,8929
66300,66350,10382,7564,10382,8940
66350,66400,10393,7570,10393,8951
66400,66450,10404,7576,10404,8962
66450,66500,10415,7582,10415,8973
66500,66550,10426,7588,10426,8984
66550,66600,10437,7594,10437,8995
66600,66650,10448,7600,10448,9006
66650,66700,10459,7606,10459,9017
66700,66750,10470,7612,10470,9028
66750,66800,10481,7618,10481,9039
66800,66850,10492,7624,10492,9050
66850,66900,10503,7630,10503,9061
66900,66950,10514,7636,10514,9072
66950,67000,10525,7642,10525,9083
67000,67050,10536,7648,10536,9094
67050,67100,10547,7654,10547,9105
67100,67150,10558,7660,10558,9116
67150,67200,10569,7666,10569,9127
67200,67250,10580,7672,10580,9138
67250,67300,10591,7678,10591,9149
67300,67350,10602,7684,10602,9160
67350,67400,10613,7690,10613,9171
67400,67450,10624,7696,10624,9182
67450,67500,10635,7702,10635,9193
67500,67550,10646,7708,10646,9204
67550,67600,10657,7714,10657,9215
67600,67650,10668,7720,10668,9226
67650,67700,10679,7726,10679,9237
67700,67750,10690,7732,10690,9248
67750,67800,10701,7738,10701,9259
67800,67850,10712,7744,10712,9270
67850,67900,10723,7750,10723,9281
67900,67950,10734,7756,10734,9292
67950,68000,10745,7762,10745,9303
68000,68050,10756,7768,10756,9314
68050,68100,10767,7774,10767,9325
68100,68150,10778,7780,10778,9336
68150,68200,10789,7786,10789,9347
68200,68250,10800,7792,10800,9358
68250,68300,10811,7798,10811,9369
68300,68350,10822,7804,10822,9380
68350,68400,10833,7810,10833,9391
68400,68450,10844,7816,10844,9402
68450,68500,10855,7822,10855,9413
68500,68550,10866,7828,10866,9424
68550,68600,10877,7834,10877,9435
68600,68650,10888,7840,10888,9446
68650,68700,10899,7846,10899,9457
